,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
165,5,6,"(3, 4, 4)",0.006974541691885182,0.09102419622970562,0.9189562951409047,0.9189562951409045,BNCI2014-004,4,1train
166,6,7,"(3, 4, 4)",0.0055502388983592705,0.09508279310637274,0.9003825701338926,0.9003825701338923,BNCI2014-004,4,1train
167,7,8,"(3, 4, 4)",0.0049177158536281755,0.09956245121871327,0.8840407294702542,0.884040729470254,BNCI2014-004,4,1train
168,8,9,"(2, 2, 2)",0.004834505636710898,0.10599977992711986,0.879086433212401,0.8790864332124008,BNCI2014-004,4,1train
169,9,10,"(3, 4, 4)",0.0045616753556793465,0.11979686004896017,0.8612357430719579,0.8612357430719577,BNCI2014-004,4,1train
170,0,1,"(1, 1, 1)",0.052363870110836125,0.10341864346890134,0.9560232092432972,0.956023209243297,BNCI2014-004,4,2train
171,1,2,"(1, 1, 1)",0.04591032280425649,0.11087782471020927,0.9552541452133112,0.955254145213311,BNCI2014-004,4,2train
172,2,3,"(2, 2, 2)",0.02678140172171038,0.13870600004722478,0.9493121670165094,0.9493121670165092,BNCI2014-004,4,2train
173,3,4,"(1, 1, 1)",0.021897638181950806,0.15442023330679613,0.9478944549042394,0.9478944549042392,BNCI2014-004,4,2train
174,4,5,"(2, 2, 2)",0.015675161173195243,0.15699956012028857,0.9426146186546758,0.9426146186546756,BNCI2014-004,4,2train
175,5,6,"(2, 2, 2)",0.01364054259314034,0.1638284134246271,0.9359723125730862,0.935972312573086,BNCI2014-004,4,2train
176,6,7,"(2, 2, 2)",0.012875355046406807,0.16689787512288357,0.9299910559606694,0.9299910559606692,BNCI2014-004,4,2train
177,7,8,"(2, 2, 2)",0.01221590604535986,0.16816816532241063,0.9265371893477418,0.9265371893477415,BNCI2014-004,4,2train
178,8,9,"(2, 2, 2)",0.011619444043931185,0.1690014904944135,0.923936740911147,0.9239367409111467,BNCI2014-004,4,2train
179,9,10,"(2, 2, 2)",0.010889716893526368,0.17493734851998904,0.9207120277758014,0.9207120277758012,BNCI2014-004,4,2train
180,0,1,"(1, 1, 1)",0.04901526118919877,0.09680514084866758,0.957367461194671,0.957367461194671,BNCI2014-004,4,3test
181,1,2,"(2, 2, 2)",0.03345651992825434,0.10692888264680159,0.951932536323236,0.951932536323236,BNCI2014-004,4,3test
182,2,3,"(1, 1, 1)",0.030858697639549904,0.11453395435416389,0.9506511082651963,0.9506511082651963,BNCI2014-004,4,3test
183,3,4,"(2, 2, 2)",0.0248554058695815,0.1169649557644733,0.9447741105302039,0.9447741105302039,BNCI2014-004,4,3test
184,4,5,"(2, 2, 2)",0.020945719305425423,0.11806295937542487,0.9412912678424594,0.9412912678424594,BNCI2014-004,4,3test
185,5,6,"(1, 1, 1)",0.020621572802084067,0.1274259907104595,0.9399558563973637,0.9399558563973637,BNCI2014-004,4,3test
186,6,7,"(2, 2, 2)",0.0180840914574596,0.13884231857860513,0.9360705626446627,0.9360705626446627,BNCI2014-004,4,3test
187,7,8,"(2, 2, 2)",0.017025631504286872,0.14303895876529446,0.9318347522371633,0.9318347522371633,BNCI2014-004,4,3test
188,8,9,"(1, 1, 1)",0.016424126120390497,0.146813146973107,0.9306764351301546,0.9306764351301546,BNCI2014-004,4,3test
189,9,10,"(2, 2, 2)",0.015348027175007169,0.15283952226227804,0.9268464073116065,0.9268464073116065,BNCI2014-004,4,3test
190,0,1,"(2, 2, 2)",0.014069919991736317,0.03998769204958688,0.9650373954326655,0.9650373954326655,BNCI2014-004,4,4test
191,1,2,"(1, 1, 1)",0.01359014861898048,0.05223911454510603,0.9638813127002158,0.9638813127002158,BNCI2014-004,4,4test
192,2,3,"(1, 1, 1)",0.013041979240275475,0.05422556011430417,0.9623701856447084,0.9623701856447084,BNCI2014-004,4,4test
193,3,4,"(1, 1, 1)",0.012069176438459997,0.062363505610360186,0.9604076087176292,0.9604076087176292,BNCI2014-004,4,4test
194,4,5,"(1, 1, 1)",0.01172267882492683,0.06443684712522282,0.9594369930301337,0.9594369930301337,BNCI2014-004,4,4test
195,5,6,"(1, 1, 1)",0.011538249016285584,0.07935690400810463,0.9585700961418316,0.9585700961418316,BNCI2014-004,4,4test
196,6,7,"(1, 1, 1)",0.011408499504335399,0.0812776109130253,0.9573299451703121,0.9573299451703121,BNCI2014-004,4,4test
197,7,8,"(1, 1, 1)",0.011279369149907823,0.08313851921939222,0.9557552094075794,0.9557552094075794,BNCI2014-004,4,4test
198,8,9,"(2, 2, 2)",0.010604756625652372,0.09148792156754085,0.94781603115949,0.94781603115949,BNCI2014-004,4,4test
199,9,10,"(3, 16, 72)",6.445635319821032e-05,0.508716041813271,5.209443960206279e-30,5.209443960206279e-30,BNCI2014-004,4,4test
