,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
95,2,0,9,False,8,469,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8914457510293755,0.80355871886121,0.812478526764241
96,2,0,9,False,8,469,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.877306479912723,0.8299741184082822,0.7847277439114174
97,2,0,9,False,8,469,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8866481588182913,0.8280901222077691,0.8072169704822765
98,2,0,9,False,8,469,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8888159140634128,0.7916044386632621,0.7969490826633684
99,2,0,9,False,8,469,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.887713904659062,0.7984455043278572,0.797223940081083
100,3,0,0,False,1,1,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8883569632338105,0.883451802365159,0.8593562746105119
101,3,0,0,False,1,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8840017125731412,0.8971931546535374,0.8538242595445985
102,3,0,0,False,1,1,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8922588036709405,0.8639564861975727,0.8610362095531587
103,3,0,0,False,1,1,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8887665198237886,0.873545871848079,0.8513097072419107
104,3,0,0,False,1,1,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8962016729834082,0.8409419606363578,0.8607580037664784
105,3,0,1,False,2,5,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9104924632018228,0.8994886570519416,0.8744435884266393
106,3,0,1,False,2,5,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9086637500430604,0.9002010543479981,0.8684621640130115
107,3,0,1,False,2,5,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.911807508311675,0.8882129158020499,0.870698510529019
108,3,0,1,False,2,5,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9100534786775464,0.8902251147582217,0.8661188152713576
109,3,0,1,False,2,5,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9160639141186074,0.8737502358045651,0.8695856873822976
110,3,0,2,False,1,6,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9150170027017318,0.8967023920718097,0.8750749015579524
