,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
208,8,9,"(4, 4)",2.2643932847958083e-05,0.0008894059196810268,2.5307646779064378e-11,0.85182975458147,BNCI2015-003,3,0
209,9,10,"(1, 1)",2.264626731625991e-05,0.0008895959887336612,2.529323645466441e-11,0.8513447176594587,BNCI2015-003,3,0
210,10,11,"(1, 1)",2.2647110838484365e-05,0.0008969517850102347,2.527275342060754e-11,0.8506552794818966,BNCI2015-003,3,0
211,11,12,"(1, 1)",2.264895057081246e-05,0.0008995304690767803,2.5113975615521813e-11,0.845310979400585,BNCI2015-003,3,0
212,12,13,"(2, 2)",2.2650579867249017e-05,0.0009049863550450814,2.495345729863817e-11,0.8399080954552496,BNCI2015-003,3,0
213,13,14,"(2, 2)",2.265147433994197e-05,0.0009077907917452847,2.4877901774219413e-11,0.8373649730391368,BNCI2015-003,3,0
214,14,15,"(1, 1)",2.265246918590499e-05,0.0009090556593840185,2.486380918856719e-11,0.8368906308815135,BNCI2015-003,3,0
215,15,16,"(1, 1)",2.2657649590174477e-05,0.0009096682618205295,2.480358112975409e-11,0.8348634154313547,BNCI2015-003,3,0
216,16,17,"(1, 1)",2.266213178346932e-05,0.000909977331023308,2.479650674584027e-11,0.8346252988349862,BNCI2015-003,3,0
217,17,18,"(1, 1)",2.26620408952862e-05,0.000942360611931558,2.4655263408951126e-11,0.8298711911912018,BNCI2015-003,3,0
218,18,19,"(4, 4)",2.248864957892908e-05,0.0009460632218830515,2.4367928366201887e-11,0.8201997847153449,BNCI2015-003,3,0
219,19,20,"(2, 2)",2.250624030349229e-05,0.0009490962044735118,2.4241303653324843e-11,0.8159377251475137,BNCI2015-003,3,0
220,0,1,"(2, 2)",0.0002323750275463387,0.00048457152421645724,0.0006417723148257933,0.9659074477108287,BNCI2015-003,4,0
221,1,2,"(8, 8)",4.332243562755008e-05,0.0005754564070699681,0.0005949215470511293,0.8953941138085983,BNCI2015-003,4,0
222,2,3,"(8, 8)",3.5228358775995e-05,0.0006012308356138093,0.0005615061158756363,0.8451018012621485,BNCI2015-003,4,0
223,3,4,"(2, 2)",3.51175869859378e-05,0.0006014350644226616,0.0005573628381336386,0.8388659092853867,BNCI2015-003,4,0
224,4,5,"(4, 4)",3.357880578515426e-05,0.0006185346030602493,0.0005402406721090639,0.8130959791995629,BNCI2015-003,4,0
225,5,6,"(8, 8)",3.140351449084079e-05,0.0006334989860883191,0.000509356217871184,0.7666129451426168,BNCI2015-003,4,0
226,6,7,"(8, 8)",2.9586558262731884e-05,0.0006459092881438556,0.0004896258916413414,0.7369175709251384,BNCI2015-003,4,0
227,7,8,"(4, 4)",2.9098943859665767e-05,0.0006463805143131028,0.0004820419285727632,0.7255032324722683,BNCI2015-003,4,0
228,8,9,"(2, 2)",2.8968341281936716e-05,0.000646607266274879,0.00047919833370505097,0.7212234444578209,BNCI2015-003,4,0
229,9,10,"(2, 2)",2.890898930534228e-05,0.0006469832513559625,0.00047565307605851347,0.7158876101038977,BNCI2015-003,4,0
230,10,11,"(1, 1)",2.8898876916243335e-05,0.0006533252655540357,0.00047068339011329595,0.7084079221267489,BNCI2015-003,4,0
231,11,12,"(2, 2)",2.872907648564426e-05,0.0006591129644705852,0.00046774356465230626,0.7039833010545379,BNCI2015-003,4,0
232,12,13,"(1, 1)",2.8718821792325465e-05,0.0006593430506243937,0.0004664294703992015,0.7020055070663188,BNCI2015-003,4,0
233,13,14,"(4, 4)",2.8491019025265435e-05,0.0006604288071410418,0.0004591941867556401,0.6911159529422626,BNCI2015-003,4,0
234,14,15,"(8, 8)",2.7402991694354232e-05,0.0006665464356624254,0.00043410530718978886,0.6533556210183873,BNCI2015-003,4,0
