,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
98,4,"(4, 4)",4,209,88,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8749068877551021,0.8175,BNCI2014-008,1,0
99,4,"(8, 8)",4,257,109,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8771249999999999,0.815561224489796,BNCI2014-008,1,0
100,5,"(1, 1)",0,210,89,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8731823979591837,0.8507448979591836,BNCI2014-008,1,0
101,5,"(2, 2)",0,213,90,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8733686224489796,0.8493367346938776,BNCI2014-008,1,0
102,5,"(4, 4)",0,225,98,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8745739795918368,0.8478469387755101,BNCI2014-008,1,0
103,5,"(8, 8)",0,273,110,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8768195153061225,0.8538979591836736,BNCI2014-008,1,0
104,5,"(1, 1)",1,210,76,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8784719387755102,0.8428877551020408,BNCI2014-008,1,0
105,5,"(2, 2)",1,213,76,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8782193877551021,0.8442244897959184,BNCI2014-008,1,0
106,5,"(4, 4)",1,225,82,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8800707908163266,0.8458775510204081,BNCI2014-008,1,0
107,5,"(8, 8)",1,273,103,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8817295918367346,0.8450000000000001,BNCI2014-008,1,0
108,5,"(1, 1)",2,210,79,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8827589285714285,0.8063673469387755,BNCI2014-008,1,0
109,5,"(2, 2)",2,213,81,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8834955357142857,0.8078571428571429,BNCI2014-008,1,0
110,5,"(4, 4)",2,225,89,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8853673469387755,0.8075510204081632,BNCI2014-008,1,0
111,5,"(8, 8)",2,273,104,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.888063137755102,0.813969387755102,BNCI2014-008,1,0
112,5,"(1, 1)",3,210,85,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8799764030612245,0.8296734693877551,BNCI2014-008,1,0
113,5,"(2, 2)",3,213,86,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8802735969387755,0.8301122448979592,BNCI2014-008,1,0
114,5,"(4, 4)",3,225,88,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8797735969387755,0.8307448979591836,BNCI2014-008,1,0
115,5,"(8, 8)",3,273,108,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8842895408163266,0.8284591836734693,BNCI2014-008,1,0
116,5,"(1, 1)",4,210,89,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8770720663265307,0.8186326530612245,BNCI2014-008,1,0
